Arcana,Lvl,Name,Inherits,St,Ma,En,Ag,Lu,Phys,Gun,Fire,Ice,Elec,Wind,Psi,Nuke,Bless,Curse,Region,Type
Chariot,3,Agathion,elec,3,4,5,7,3,,0.5,,,0.5,2,,,,,GR,HIST
Chariot,10,Slime,curse,9,6,11,6,5,0.5,0.5,2,,,2,,,,,US,POP
Chariot,18,Shiki-Ouji,psy,16,14,12,9,10,0,0,,,,,,2,0,0,JP,MYTH
Chariot,25,Kin-Ki,phys,21,13,21,15,12,0.5,-1,,,,,,,,,JP,MYTH
Chariot,30,Ara Mitama,nuke,20,18,20,20,19,0.5,,,2,,,,,,,JP,MYTH
Chariot,38,White Rider,curse,22,21,26,27,25,,,0,2,,,,,0,-1,AB,MYTH
Chariot,55,Cerberus,fire,39,35,32,39,27,,,ab,2,,,,0.5,,,GR,MYTH
Chariot,64,Thor,elec,44,39,43,38,35,0.5,,,,0,,,,0.5,0.5,NO,MYTH
Chariot,88,Chi You,psy,56,57,54,53,51,0.5,0.5,,,,,0,2,,,CH,MYTH
Chariot,4,Captain Kidd,elec,5,3,6,3,3,,,,,0.5,2,,,,,UK,HIST
Councillor,12,Kusi Mitama,healing,7,11,9,8,8,,,2,,,0.5,,,,,JP,MYTH
Councillor,22,Nigi Mitama,healing,13,15,15,16,14,,,,,2,,,,0.5,0.5,JP,MYTH
Councillor,32,Decarabia,fire,21,23,19,22,18,2,,-1,,,,,0.5,,0.5,GO,MYTH
Councillor,44,Ananta,nuke,26,30,31,27,25,,,,ab,2,,,,,,HI,MYTH
Councillor,57,Yatagarasu,fire,35,41,30,40,32,,,,,,0.5,,,0,2,JP,MYTH
Councillor,62,Seiryu,ice,38,41,43,37,34,,,,0.5,,,,2,,,CH,MYTH
Councillor,71,Dionysus,ailment,42,48,44,42,44,,,,,-1,,,,0,0,GR,MYTH
Councillor,80,Vohu Manah,almighty,46,59,45,56,41,,,,,0.5,2,,,ab,0,ZA,MYTH
Death,3,Mandrake,elec,2,3,3,4,4,,,2,,0.5,,,,,,EU,HIST
Death,9,Mokoi,ailment,9,5,6,10,4,,,,,0.5,2,,,,,AU,MYTH
Death,17,Matador,psy,11,13,10,16,8,,,,,2,0,,,,,SP,HIST
Death,20,Nue,curse,16,10,17,14,10,,,2,0.5,,,,,,0,JP,MYTH
Death,28,Pisaca,curse,19,21,21,16,14,,,2,,0.5,,,,2,0,HI,MYTH
Death,37,Hell Biker,fire,23,24,24,30,17,,,-1,,,0.5,,,2,,US,POP
Death,40,Hope Diamond,almighty,40,40,40,40,40,0.5,0.5,,2,,,,,,,P5,P5
Death,54,Pale Rider,curse,32,37,33,40,27,,,,,,0.5,,,2,-1,AB,MYTH
Death,62,Chernobog,ailment,40,37,39,38,39,,0.5,2,ab,0,,,,2,ab,SL,MYTH
Death,65,Thanatos,almighty,43,49,41,38,31,0.5,,,,,,,,2,-1,GR,MYTH
Death,69,Thanatos Picaro,almighty,45,51,43,40,35,0.5,,,,,,,,2,-1,GR,MYTH
Death,72,Mot,ailment,43,51,48,42,39,,0.5,,,ab,2,,,,-1,AB,MYTH
Death,83,Alice,curse,45,61,49,54,47,,,,,,,0.5,0.5,2,-1,UK,LIT
Devil,5,Incubus,ailment,4,6,4,5,3,,,2,,0.5,,,,2,,EU,MYTH
Devil,19,Flauros,ailment,15,11,13,14,11,,,0,2,,0.5,,0.5,,,GO,MYTH
Devil,27,Andras,ice,15,19,19,21,14,,,2,0.5,,,0.5,,2,0,GO,MYTH
Devil,32,Lilim,ice,17,23,18,25,20,,,,0.5,,2,,,2,0,AB,MYTH
Devil,45,Pazuzu,curse,29,33,27,26,27,,,,,,0.5,,,2,0,MS,MYTH
Devil,58,Baphomet,almighty,34,42,36,38,31,,,0.5,,,,,,2,0,EU,MYTH
Devil,74,Nebiros,curse,45,52,44,46,42,,,,,,,0,,2,0.5,GO,MYTH
Devil,82,Belial,curse,52,53,51,48,49,0,,,0.5,,,,,,0,GO,MYTH
Devil,87,Beelzebub,curse,55,61,54,56,42,,,ab,,,,,,2,-1,AB,MYTH
Emperor,10,Regent,almighty,10,10,10,10,10,0.5,0.5,,,,,,2,,,P5,P5
Emperor,16,Eligor,fire,12,10,13,10,10,,,0.5,,2,,,,,0.5,GO,MYTH
Emperor,25,Setanta,phys,19,16,18,13,16,,0.5,,,,,2,0.5,,,IR,MYTH
Emperor,36,Thoth,nuke,21,28,21,24,21,,,,,,,2,0,0,0.5,EG,MYTH
Emperor,52,Barong,elec,33,35,33,37,25,,0.5,,,0.5,2,,,0,2,ID,MYTH
Emperor,61,King Frost,ice,40,44,43,29,34,,,,ab,,,,,0,,UK,MYTH
Emperor,66,Oberon,elec,40,45,42,43,35,,,,,0.5,,0,2,,,UK,LIT
Emperor,82,Baal,wind,54,58,53,47,41,,,0.5,,,ab,,,0.5,,AB,MYTH
Emperor,84,Odin,elec,53,58,54,52,42,,,,,0,ab,,,-1,-1,NO,MYTH
Emperor,15,Goemon,ice,13,10,11,10,8,,,2,0.5,,,,,,,JP,HIST
Empress,15,Queen's Necklace,almighty,15,15,15,15,15,0.5,0.5,,,,,2,,,,P5,P5
Empress,20,Yaksini,ice,14,11,13,16,13,,0,,0.5,,,,2,,,HI,MYTH
